_RAJ2000,_DEJ2000,recno,Names,f_Names,RAJ2000,DEJ2000,Type,amaj,bmin,Dist,VMAG,kin_,Ref,Notes,SimbadName
317.20834,-51.163612,1,"Kim 2, Indus 1, Indus I, DES J2108.8-5109     ",,21 08 50.0,-51 09 49,"UFC   ",2.8,2.8,100,1.3,n,"            1","Milky Way halo, MC origin?               ","Kim 2                      "
325.055,-52.541668,2,"DES 3                                         ",,21 40 13.2,-52 32 30,"UFC   ",2.0,2.0,76,-1.9,n,"            4","Milky Way halo                           ","[LSP2018] DES 3            "
331.02,-46.44,3,"Grus II, DES J2204-4626                       ",,22 04 04.8,-46 26 24,"FG    ",12.0,12.0,53,-3.9,y,"    1, 12, 13","UFC? MC satellite?                       ","Grus II                    "
342.97958,-58.56889,4,"Tuc II, Tucana II, Tucana 2, DES J2251.2-5836 ",,22 51 55.1,-58 34 08,"FG    ",20.0,20.0,57,-3.8,y,"    1, 10, 13","Less prob. LMC sat., trailing LMC?       ","Tuc II                     "
344.17667,-50.163334,5,"Gru I, Grus 1, Grus I                         ",,22 56 42.4,-50 09 48,"FG    ",3.6,3.6,120,-3.4,y,"     1, 8, 10","Milky Way Halo, MC origin? Trailing LMC  ","NAME Grus I                "
354.35,-63.27,6,"Tuc V, Tucana V, DES J2337-6316               ",,23 37 24.0,-63 16 12,"UFC   ",2.0,2.0,55,-1.6,n,"     1, 6, 13","Related to the SMC, dissolving?          ","Tuc V                      "
354.99292,-54.405,7,"Phe II, Phe 2, Phoenix II, DES J2339.9-5424   ",,23 39 58.3,-54 24 18,"UFC   ",2.2,2.2,81,-2.74,y," 1, 8, 11, 13","UFG? former LMC?, LMC sat.? VPO?         ","Phe II                     "
359.1075,-59.583332,8,"Tuc III, Tucana III, DES J2356-5935           ",,23 56 25.8,-59 35 00,"UFG   ",12.0,12.0,25,-3.4,y,"     1, 7, 10","MC Satellite?                            ","Tuc III                    "
0.73,-60.85,9,"Tuc IV, Tucana IV, DES J0002-6051             ",,00 02 55.2,-60 51 00,"UFG   ",18.0,18.0,48,-3.5,y,"    1, 12, 13","UFC? MC Satellite: LMC                   ","Tuc IV                     "
8.499167,-49.129723,10,"DES 1, DES J0034-4902                         ",,00 33 59.8,-49 07 47,"UFC   ",8.0,8.0,74,-1.42,n,"            6","Related to the SMC                       ","DES J0034-4902             "
